N_event,t_trig,tP1,tP2,tP3
0,0.624,2038,2038,2038
1,0.655,2037,2037,2037
2,0.671,2037,2037,2037
3,0.687,2038,2038,2037
4,0.703,2038,2038,2037
5,0.719,2038,2038,2038
6,0.735,2038,2037,2037
7,0.751,2038,2038,2037
8,0.783,2038,2038,2038
9,7.567,2037,2037,2037
10,7.583,2038,2038,2037
11,7.599,2038,2038,2038
12,7.631,2038,2037,2037
13,7.647,2038,2038,2038
14,7.663,2037,2037,2037
15,7.679,2038,2038,2037
16,7.695,2038,2038,2038
17,7.711,2038,2038,2037
18,7.743,2035,2037,2037
19,7.759,2037,2037,2037
20,7.775,2038,2038,2038
21,7.791,2037,2037,2037
22,7.807,2038,2038,2037
23,7.823,2038,2038,2037
24,7.855,2037,2037,2037
25,7.871,2038,2038,2037
26,7.887,2038,2037,2037
27,7.903,2038,2038,2038
28,7.919,2038,2038,2038
29,7.935,2038,2038,2037
30,7.967,2038,2038,2038
31,7.983,2038,2038,2038
32,7.999,2038,2038,2038
33,8.015,2038,2037,2037
34,8.031,2038,2034,2037
35,8.047,2038,2038,2037
36,8.063,2038,2038,2037
37,8.095,2038,2038,2038
38,8.111,2038,2038,2038
39,8.127,2038,2038,2038
40,8.143,2038,2037,2037
41,8.159,2038,2038,2037
42,8.175,2037,2037,2037
43,8.207,2038,2034,2037
44,8.223,2038,2038,2037
45,8.239,2038,2038,2037
46,8.255,2037,2037,2037
47,8.271,2038,2038,2037
48,8.287,2038,2038,2038
49,8.318,2038,2038,2038
50,8.335,2038,2038,2037
51,8.351,2038,2038,2037
52,8.367,2038,2038,2038
53,8.383,2037,2037,2037
54,8.399,2038,2038,2038
55,8.431,2038,2038,2037
56,8.447,2038,2038,2037
57,8.463,2038,2038,2038
58,8.479,2038,2038,2038
59,8.495,2038,2038,2038
60,8.511,2038,2037,2037
61,8.527,2038,2038,2037
62,8.559,2037,2037,2037
63,8.575,2038,2038,2038
64,8.591,2038,2038,2038
65,8.607,2038,2038,2037
66,8.623,2038,2038,2037
67,8.639,2038,2038,2038
68,8.671,2038,2038,2037
69,8.687,2038,2038,2037
70,8.703,2038,2038,2037
71,8.719,2038,2037,2037
72,8.735,2038,2038,2038
73,8.751,2038,2038,2037
74,8.783,2038,2034,2037
75,8.799,2037,2037,2037
76,8.815,2038,2038,2037
77,8.831,2038,2038,2038
78,8.847,2038,2038,2037
79,8.863,2038,2038,2037
80,8.894,2038,2038,2038
81,8.911,2037,2037,2037
82,8.927,2038,2038,2038
83,8.943,2038,2038,2038
84,8.959,2038,2038,2038
85,8.975,2038,2034,2037
86,8.991,2038,2034,2037
87,9.023,2038,2038,2037
88,9.039,2038,2038,2037
89,9.055,2038,2038,2038
90,9.071,2038,2038,2037
91,9.087,2038,2038,2037
92,9.103,2038,2038,2038
93,9.135,2037,2037,2037
94,9.151,2038,2038,2037
95,9.167,2038,2038,2038
96,9.183,2037,2037,2037
97,9.199,2038,2038,2038
98,9.215,2038,2038,2038
99,9.247,2038,2038,2037
100,9.263,2038,2037,2037
101,9.279,2038,2038,2038
102,9.295,2038,2038,2038
103,9.311,2038,2038,2037
104,9.327,2037,2037,2037
105,9.358,2038,2034,2037
106,9.375,2038,2038,2038
107,9.391,2038,2038,2037
108,9.407,2038,2034,2037
109,9.423,2038,2038,2038
110,9.439,2038,2038,2037
111,9.455,2038,2038,2038
112,9.487,2038,2037,2037
113,9.503,2038,2038,2038
114,9.519,2038,2038,2037
115,9.535,2038,2038,2037
116,9.551,2038,2037,2037
117,9.567,2038,2037,2037
118,9.599,2038,2038,2037
119,9.615,2038,2037,2037
120,9.631,2038,2037,2037
121,9.647,2038,2038,2037
122,9.663,2038,2038,2038
123,9.679,2038,2038,2037
124,9.71,2038,2038,2038
125,9.727,2038,2038,2038
126,9.743,2038,2038,2037
127,9.759,2038,2038,2038
128,9.775,2038,2037,2037
129,9.791,2037,2037,2037
130,9.822,2038,2038,2037
131,9.839,2038,2038,2037
132,9.855,2038,2038,2038
133,9.871,2038,2038,2038
134,9.887,2038,2038,2037
135,9.903,2038,2038,2038
136,9.919,2038,2038,2037
137,9.951,2037,2037,2037
138,9.967,2038,2034,2037
139,9.983,2038,2038,2038
140,9.999,2038,2034,2037
141,10.015,2038,2038,2037
142,10.031,2038,2038,2037
143,10.063,2038,2038,2038
144,10.079,2038,2038,2038
145,10.095,2038,2038,2038
146,10.111,2038,2037,2037
147,10.127,2038,2038,2038
148,10.143,2038,2038,2038
149,10.175,2038,2034,2037
150,10.191,2037,2037,2037
151,10.207,2038,2037,2037
152,10.223,2038,2038,2037
153,10.239,2038,2034,2037
154,10.255,2038,2038,2037
155,10.287,2038,2038,2037
156,10.303,2038,2038,2037
157,10.319,2038,2034,2037
158,10.335,2037,2037,2037
159,10.351,2038,2037,2037
160,10.367,2038,2037,2037
161,10.383,2038,2038,2037
162,10.415,2038,2038,2037
163,10.431,2038,2034,2037
164,10.447,2038,2038,2037
165,10.463,2038,2037,2037
166,10.479,2038,2038,2038
167,10.495,2038,2037,2037
168,10.527,2038,2038,2038
169,10.543,2038,2038,2037
170,10.559,2038,2038,2038
171,10.575,2038,2038,2038
172,10.591,2038,2038,2037
173,10.607,2038,2038,2037
174,10.638,2038,2034,2037
175,10.655,2038,2038,2038
176,10.671,2038,2038,2037
177,10.687,2038,2038,2037
178,10.703,2038,2038,2038
179,10.719,2038,2038,2037
180,10.751,2038,2038,2037
181,10.767,2038,2038,2037
182,10.783,2037,2037,2037
183,10.799,2038,2038,2038
184,10.815,2038,2038,2038
185,10.831,2038,2037,2037
186,10.847,2038,2038,2038
187,10.879,2037,2037,2037
188,10.895,2038,2034,2037
189,10.91,2038,2038,2037
190,10.927,2038,2038,2037
191,10.943,2038,2038,2038
192,10.959,2038,2038,2037
193,10.991,2038,2038,2038
194,11.007,2038,2038,2037
195,11.023,2038,2038,2038
196,11.039,2038,2038,2038
197,11.055,2038,2038,2038
198,11.071,2038,2038,2038
199,11.103,2038,2038,2037
200,11.119,2038,2037,2037
201,11.135,2038,2038,2038
202,11.151,2038,2038,2037
203,11.167,2038,2037,2037
204,11.183,2038,2038,2038
205,11.215,2038,2037,2037
206,11.231,2038,2038,2037
207,11.247,2038,2038,2038
208,11.263,2038,2038,2037
209,11.279,2038,2037,2037
210,11.295,2038,2038,2037
