N_event,t_trig,tP1,tP2,tP3
0,0.592,3751,3751,3750
1,0.624,3752,3751,3751
2,0.64,3751,3751,3751
3,0.656,3751,3751,3751
4,0.672,3752,3751,3751
5,0.688,3751,3750,3750
6,0.704,3750,3750,3749
7,0.735,3752,3751,3751
8,0.752,3751,3751,3751
9,0.768,3745,3751,3751
10,0.783,3751,3751,3751
11,0.799,3751,3751,3750
12,0.816,3751,3751,3750
13,0.847,3751,3751,3751
14,0.864,3750,3750,3750
15,0.88,3751,3751,3751
16,0.895,3751,3751,3750
17,0.912,3751,3751,3751
18,0.928,3751,3751,3751
19,0.944,3751,3750,3750
20,0.976,3752,3751,3751
21,0.991,3751,3751,3750
22,1.008,3750,3750,3749
23,1.023,3752,3751,3751
24,1.039,3751,3751,3751
25,1.056,3752,3751,3751
26,1.088,3751,3751,3751
27,1.104,3752,3752,3751
28,1.12,3751,3751,3751
29,1.136,3751,3751,3750
30,1.152,3750,3750,3750
31,1.168,3751,3751,3750
32,1.199,3751,3751,3751
33,1.216,3751,3751,3751
34,1.232,3751,3751,3750
35,1.248,3751,3751,3750
36,1.264,3751,3751,3751
37,1.28,3751,3751,3750
38,1.311,3750,3750,3749
39,1.328,3752,3752,3751
40,1.343,3751,3751,3751
41,1.36,3751,3751,3751
42,1.376,3751,3750,3750
43,1.392,3751,3751,3751
44,1.408,3751,3751,3750
45,1.44,3745,3751,3751
46,1.456,3750,3750,3750
47,1.472,3752,3752,3751
48,1.488,3751,3751,3751
49,1.504,3752,3752,3751
50,1.52,3751,3751,3751
51,1.552,3751,3747,3750
52,1.568,3751,3751,3750
53,1.584,3751,3751,3751
54,1.6,3750,3750,3750
55,1.616,3752,3748,3751
56,1.632,3751,3751,3751
57,1.663,3751,3751,3751
58,1.679,3751,3750,3750
59,1.695,3752,3752,3751
60,1.712,3751,3751,3750
61,1.728,3751,3751,3751
62,1.744,3750,3750,3750
63,1.775,3752,3752,3751
64,1.792,3752,3751,3751
65,1.808,3751,3751,3751
66,1.824,3752,3752,3751
67,1.839,3752,3751,3751
68,1.855,3751,3747,3750
69,1.872,3751,3751,3751
70,1.904,3750,3749,3749
71,1.92,3751,3751,3751
72,1.936,3752,3751,3751
73,1.952,3752,3751,3751
74,1.968,3751,3751,3751
75,1.984,3752,3752,3751
76,2.016,3752,3751,3751
77,2.031,3751,3747,3750
78,2.048,3750,3750,3749
79,2.063,3751,3751,3751
80,2.079,3751,3751,3751
81,2.095,3752,3752,3751
82,2.127,3751,3751,3751
83,2.143,3751,3751,3751
84,2.16,3751,3751,3751
85,2.176,3752,3751,3751
86,2.191,3750,3746,3749
87,2.208,3751,3751,3751
88,2.239,3752,3748,3751
89,2.255,3752,3752,3751
90,2.271,3751,3751,3750
91,2.287,3751,3751,3751
92,2.303,3751,3751,3750
93,2.319,3751,3751,3751
94,2.335,3749,3749,3749
95,2.367,3752,3751,3751
96,2.384,3752,3751,3751
97,2.399,3751,3751,3750
98,2.416,3751,3751,3750
99,2.432,3751,3751,3750
100,2.448,3751,3751,3751
101,2.48,3751,3751,3751
102,2.495,3749,3749,3749
103,2.511,3752,3752,3751
104,2.527,3751,3751,3751
105,2.543,3751,3751,3751
106,2.559,3751,3751,3751
107,2.591,3751,3751,3750
108,2.607,3751,3751,3751
109,2.623,3751,3751,3751
110,2.639,3750,3750,3749
111,2.655,3751,3751,3751
112,2.671,3752,3748,3751
113,2.703,3745,3751,3751
114,2.719,3751,3751,3750
115,2.735,3751,3751,3750
116,2.751,3751,3751,3750
117,2.768,3751,3751,3751
118,2.783,3750,3750,3750
119,2.799,3751,3751,3750
120,2.831,3752,3751,3751
121,2.848,3751,3751,3750
122,2.863,3751,3751,3750
123,2.879,3751,3751,3750
124,2.895,3745,3751,3751
125,2.911,3751,3751,3751
126,2.943,3750,3750,3750
127,2.959,3751,3751,3751
128,2.976,3752,3752,3751
129,2.992,3751,3751,3751
130,3.008,3752,3751,3751
131,3.024,3751,3751,3750
132,3.055,3751,3751,3751
133,3.072,3751,3751,3751
134,3.088,3750,3750,3749
135,3.104,3751,3751,3751
136,3.119,3751,3751,3751
137,3.135,3745,3751,3751
138,3.167,3751,3751,3751
139,3.183,3751,3751,3751
140,3.199,3751,3751,3750
141,3.215,3751,3751,3750
142,3.231,3750,3750,3749
143,3.247,3752,3750,3751
144,3.263,3751,3751,3751
145,3.295,3751,3751,3750
146,3.311,3751,3751,3750
147,3.327,3751,3751,3750
148,3.343,3751,3751,3751
149,3.359,3752,3751,3751
150,3.376,3750,3750,3750
151,3.408,3751,3751,3751
152,3.423,3751,3751,3751
153,3.439,3751,3751,3751
154,3.455,3752,3752,3751
155,3.471,3751,3751,3751
156,3.488,3751,3751,3751
157,3.519,3751,3751,3751
158,3.535,3750,3750,3749
159,3.551,3751,3751,3751
160,3.568,3751,3751,3751
161,3.583,3751,3751,3751
162,3.599,3751,3751,3750
163,3.631,3751,3751,3750
164,3.648,3751,3751,3750
165,3.663,3752,3752,3751
166,3.68,3750,3750,3750
167,3.696,3751,3751,3751
168,3.712,3751,3751,3751
169,3.728,3752,3748,3751
170,3.76,3751,3751,3750
171,3.776,3751,3751,3750
172,3.791,3751,3751,3751
173,3.808,3751,3751,3751
174,3.823,3750,3750,3749
175,3.839,3751,3751,3751
176,3.872,3752,3752,3751
177,3.888,3751,3751,3751
178,3.903,3751,3751,3750
179,3.919,3751,3751,3751
180,3.936,3752,3751,3751
181,3.951,3751,3751,3751
182,3.983,3750,3750,3750
183,4.0,3751,3751,3751
184,4.015,3751,3751,3751
185,4.031,3752,3751,3751
186,4.048,3752,3751,3751
187,4.063,3751,3751,3750
188,4.095,3751,3751,3751
189,4.111,3751,3751,3751
190,4.128,3750,3750,3749
191,4.143,3752,3748,3751
192,4.16,3745,3751,3751
193,4.176,3752,3752,3751
194,4.191,3751,3751,3750
195,4.223,3751,3751,3751
196,4.239,3751,3751,3750
197,4.255,3751,3751,3751
198,4.271,3750,3746,3749
199,4.288,3751,3751,3751
200,4.303,3751,3751,3751
201,4.335,3751,3751,3750
202,4.352,3752,3751,3751
203,4.368,3751,3751,3751
204,4.384,3751,3751,3751
205,4.399,3752,3751,3751
206,4.415,3749,3749,3749
207,4.447,3751,3751,3751
208,4.463,3752,3752,3751
209,4.479,3752,3752,3751
210,4.495,3751,3751,3751
211,4.511,3751,3751,3751
212,4.528,3751,3751,3751
213,4.559,3752,3748,3751
214,4.576,3743,3749,3749
215,4.591,3751,3751,3751
216,4.607,3752,3750,3751
217,4.623,3751,3751,3751
218,4.639,3751,3751,3751
219,4.655,3749,3751,3751
220,4.688,3751,3751,3750
221,4.703,3751,3751,3751
222,4.719,3750,3750,3749
223,4.735,3751,3751,3751
224,4.751,3751,3751,3751
225,4.768,3752,3752,3751
226,4.799,3751,3751,3750
227,4.815,3745,3751,3751
228,4.831,3752,3751,3751
229,4.848,3751,3751,3751
230,4.863,3750,3749,3749
231,4.879,3751,3751,3750
232,4.911,3751,3751,3750
233,4.928,3751,3751,3751
234,4.943,3751,3750,3750
235,4.96,3751,3751,3750
236,4.976,3751,3751,3751
237,4.991,3752,3752,3751
238,5.023,3750,3749,3749
239,5.039,3752,3752,3751
240,5.055,3751,3751,3751
241,5.071,3752,3751,3751
242,5.088,3751,3751,3750
243,5.103,3751,3750,3750
244,5.119,3752,3752,3751
245,5.152,3751,3751,3750
246,5.168,3750,3750,3750
247,5.183,3751,3751,3751
248,5.199,3751,3747,3750
249,5.215,3751,3751,3751
250,5.231,3751,3751,3751
251,5.264,3751,3747,3750
252,5.279,3751,3751,3750
253,5.295,3752,3751,3751
254,5.312,3750,3750,3750
255,5.328,3751,3751,3751
256,5.343,3752,3748,3751
257,5.375,3752,3752,3751
258,5.391,3751,3751,3751
259,5.408,3751,3751,3751
260,5.423,3751,3751,3750
261,5.439,3751,3751,3750
262,5.455,3750,3750,3750
263,5.487,3751,3751,3751
264,5.503,3752,3752,3751
265,5.52,3752,3752,3751
266,5.536,3751,3751,3750
267,5.552,3751,3751,3751
268,5.567,3751,3751,3750
269,5.583,3751,3751,3750
270,5.615,3750,3750,3750
271,5.631,3751,3751,3751
272,5.648,3752,3752,3751
273,5.663,3752,3752,3751
274,5.679,3752,3748,3751
275,5.695,3751,3751,3750
276,5.728,3751,3751,3750
277,5.744,3751,3751,3751
278,5.759,3750,3750,3750
279,5.775,3751,3751,3750
280,5.792,3751,3751,3751
281,5.808,3751,3751,3750
282,5.839,3751,3751,3751
283,5.855,3751,3751,3751
284,5.871,3751,3751,3750
285,5.888,3751,3750,3750
286,5.903,3750,3750,3749
287,5.919,3751,3751,3750
288,5.951,3752,3751,3751
289,5.968,3751,3751,3750
290,5.983,3752,3748,3751
291,5.999,3751,3751,3751
292,6.015,3751,3751,3751
293,6.031,3751,3751,3751
294,6.048,3750,3750,3749
295,6.079,3752,3748,3751
296,6.095,3751,3751,3751
297,6.111,3751,3751,3751
298,6.128,3745,3751,3751
299,6.143,3751,3751,3751
300,6.16,3751,3751,3750
301,6.191,3751,3751,3751
302,6.208,3750,3746,3749
303,6.223,3751,3751,3750
304,6.239,3752,3751,3751
305,6.255,3751,3751,3750
306,6.271,3751,3751,3751
307,6.303,3752,3751,3751
