N_event,t_trig,tP1,tP2,tP3
211,6.047,3113,3113,3112
212,6.079,3113,3113,3113
213,6.095,3113,3113,3113
214,6.111,3113,3113,3113
215,6.128,3113,3113,3113
216,6.143,3114,3113,3113
217,6.159,3113,3113,3113
218,6.191,3114,3110,3113
219,6.207,3113,3113,3113
220,6.223,3113,3113,3112
221,6.239,3114,3110,3113
222,6.255,3113,3113,3113
223,6.272,3113,3113,3113
224,6.303,3113,3113,3112
225,6.319,3114,3114,3113
226,6.335,3114,3114,3113
227,6.351,3113,3113,3113
228,6.367,3113,3113,3112
229,6.383,3113,3113,3113
230,6.399,3113,3113,3112
231,6.431,3113,3113,3113
232,6.447,3114,3113,3113
233,6.463,3113,3113,3112
234,6.479,3113,3113,3113
235,6.495,3114,3114,3113
236,6.511,3113,3113,3112
237,6.543,3113,3113,3113
238,6.559,3114,3114,3113
239,6.575,3113,3113,3113
240,6.591,3113,3113,3113
241,6.608,3113,3113,3113
242,6.623,3113,3113,3113
243,6.655,3113,3113,3113
244,6.671,3113,3113,3113
245,6.687,3113,3113,3112
246,6.703,3113,3113,3112
247,6.719,3113,3113,3113
248,6.735,3114,3113,3113
249,6.767,3113,3113,3113
250,6.783,3113,3113,3112
251,6.8,3114,3114,3113
252,6.815,3113,3113,3113
253,6.831,3107,3113,3113
254,6.847,3113,3113,3113
255,6.863,3114,3113,3113
256,6.895,3114,3113,3113
257,6.911,3113,3113,3112
258,6.927,3113,3113,3112
259,6.943,3113,3113,3112
260,6.959,3114,3114,3113
261,6.975,3113,3113,3113
262,7.007,3113,3113,3113
263,7.023,3114,3113,3113
264,7.039,3114,3114,3113
265,7.055,3113,3113,3113
266,7.071,3114,3113,3113
267,7.087,3114,3113,3113
268,7.119,3114,3114,3113
269,7.135,3113,3113,3113
270,7.151,3113,3113,3113
271,7.167,3113,3113,3113
272,7.183,3114,3110,3113
273,7.199,3113,3113,3113
274,7.215,3113,3113,3113
275,7.247,3113,3113,3112
276,7.263,3113,3113,3112
277,7.279,3113,3113,3113
278,7.296,3113,3113,3113
279,7.311,3114,3113,3113
280,7.328,3114,3114,3113
281,7.359,3113,3113,3113
282,7.375,3113,3113,3113
283,7.391,3113,3113,3112
284,7.407,3113,3113,3112
285,7.423,3114,3113,3113
286,7.439,3107,3113,3113
