N_event,t_trig,tP1,tP2,tP3
0,2.703,1490,1486,1489
1,2.718,1490,1489,1489
2,2.734,1489,1489,1489
3,2.75,1489,1489,1489
4,2.766,1489,1489,1489
5,2.798,1490,1486,1489
6,2.814,1489,1489,1489
7,2.83,1489,1489,1489
8,2.846,1490,1490,1489
9,2.863,1490,1489,1489
10,2.879,1489,1489,1489
11,2.91,1490,1490,1489
12,2.926,1489,1489,1488
13,2.943,1489,1489,1488
14,2.958,1489,1489,1489
15,2.974,1489,1489,1489
16,2.99,1490,1490,1489
17,3.022,1489,1489,1489
18,3.038,1489,1489,1488
19,3.055,1489,1489,1489
20,3.07,1490,1490,1489
21,3.086,1489,1489,1489
22,3.103,1490,1490,1489
23,3.119,1489,1489,1489
24,3.15,1490,1486,1489
25,3.166,1489,1489,1489
26,3.183,1490,1490,1489
27,3.198,1489,1489,1489
28,3.214,1490,1489,1489
29,3.231,1490,1489,1489
30,3.263,1489,1489,1488
31,3.279,1490,1489,1489
32,3.294,1490,1489,1489
33,3.311,1489,1489,1489
34,3.326,1489,1489,1489
35,3.343,1489,1489,1489
36,3.374,1490,1486,1489
37,3.39,1489,1489,1489
38,3.406,1490,1490,1489
39,3.423,1489,1489,1489
40,3.438,1489,1489,1489
41,3.454,1490,1489,1489
42,3.486,1489,1489,1489
43,3.503,1490,1489,1489
44,3.518,1489,1489,1489
45,3.534,1490,1489,1489
46,3.55,1489,1489,1489
47,3.566,1489,1489,1489
48,3.583,1489,1489,1489
49,3.615,1490,1490,1489
50,3.631,1489,1489,1489
51,3.647,1490,1489,1489
52,3.663,1489,1489,1489
53,3.678,1489,1489,1489
54,3.694,1489,1489,1489
55,3.726,1489,1489,1488
56,3.743,1490,1490,1489
57,3.758,1490,1490,1489
58,3.774,1490,1489,1489
59,3.79,1489,1489,1489
60,3.807,1489,1489,1489
61,3.838,1489,1489,1489
62,3.854,1490,1489,1489
63,3.87,1489,1489,1488
64,3.886,1490,1490,1489
65,3.903,1489,1489,1489
66,3.918,1489,1489,1489
67,3.95,1489,1489,1489
