N_event,t_trig,tP1,tP2,tP3
0,1.583,2560,2560,2559
1,1.599,2559,2559,2559
2,1.615,2559,2559,2559
3,1.631,2559,2559,2559
4,1.647,2559,2559,2559
5,1.679,2559,2559,2559
6,1.695,2560,2560,2559
7,1.711,2560,2560,2559
8,1.727,2559,2559,2559
9,1.743,2560,2560,2560
10,1.76,2553,2559,2559
11,1.791,2559,2559,2559
12,1.807,2559,2559,2559
13,1.823,2560,2560,2560
14,1.839,2559,2559,2559
15,1.855,2559,2559,2559
16,1.872,2560,2560,2559
17,1.887,2560,2559,2559
18,1.92,2559,2559,2559
19,1.936,2560,2560,2559
20,1.951,2560,2560,2559
21,1.968,2560,2560,2559
22,1.984,2560,2556,2559
23,1.999,2559,2559,2559
24,2.032,2560,2560,2559
25,2.047,2560,2560,2559
26,2.063,2559,2559,2559
27,2.08,2560,2560,2559
28,2.095,2559,2559,2559
29,2.111,2559,2559,2559
30,2.143,2559,2559,2559
31,2.16,2560,2560,2559
32,2.175,2560,2560,2559
33,2.191,2560,2560,2559
34,2.207,2560,2560,2559
35,2.223,2560,2560,2559
36,2.255,2559,2559,2559
37,2.271,2559,2559,2559
38,2.287,2559,2559,2559
39,2.303,2560,2560,2559
40,2.32,2560,2560,2559
41,2.335,2560,2560,2559
42,2.351,2559,2559,2559
43,2.383,2559,2559,2559
44,2.4,2560,2560,2559
45,2.415,2560,2560,2560
46,2.431,2559,2559,2559
47,2.447,2560,2560,2559
48,2.463,2553,2559,2559
49,2.495,2560,2559,2559
50,2.511,2560,2560,2559
51,2.527,2560,2560,2560
52,2.543,2560,2560,2560
53,2.56,2560,2560,2560
54,2.575,2560,2560,2559
55,2.607,2560,2560,2559
56,2.623,2560,2559,2559
57,2.639,2559,2559,2559
58,2.655,2559,2559,2559
59,2.671,2560,2560,2560
60,2.687,2560,2560,2560
61,2.703,2560,2560,2559
62,2.735,2560,2560,2559
63,2.751,2560,2559,2559
64,2.767,2559,2559,2559
65,2.783,2559,2559,2559
66,2.799,2560,2560,2559
67,2.815,2560,2556,2559
68,2.847,2559,2559,2559
69,2.863,2560,2560,2559
70,2.88,2559,2559,2559
71,2.895,2560,2560,2559
72,2.912,2559,2559,2559
73,2.927,2560,2560,2559
74,2.96,2560,2559,2559
75,2.975,2560,2559,2559
76,2.991,2559,2559,2559
77,3.007,2560,2560,2559
78,3.023,2560,2559,2559
79,3.039,2560,2559,2559
80,3.071,2553,2559,2559
81,3.087,2559,2559,2559
82,3.103,2559,2559,2559
83,3.12,2559,2559,2559
84,3.135,2560,2560,2559
85,3.151,2559,2559,2559
86,3.168,2560,2560,2559
87,3.2,2560,2560,2559
88,3.215,2559,2559,2559
89,3.231,2559,2559,2559
90,3.247,2559,2559,2559
91,3.263,2557,2559,2559
