N_event,t_trig,tP1,tP2,tP3
0,3.487,433,433,433
1,3.503,433,432,432
2,3.519,433,433,433
3,3.535,433,433,433
4,3.567,433,432,432
5,3.583,433,433,433
6,3.599,433,433,433
7,3.615,433,433,433
8,3.631,433,433,433
9,3.647,433,429,432
10,3.663,433,433,433
11,3.695,433,433,433
12,3.711,433,433,432
13,3.727,426,432,432
14,3.743,433,433,433
15,3.759,433,433,433
16,3.775,433,433,433
17,3.807,433,433,432
18,3.823,433,433,433
19,3.839,433,433,432
20,3.855,433,433,433
21,3.871,432,432,432
22,3.887,433,433,433
23,3.919,433,433,433
24,3.935,433,433,433
25,3.951,433,433,432
26,3.967,433,432,432
27,3.983,433,433,432
28,3.999,433,429,432
29,4.031,433,433,432
30,4.047,433,433,432
31,4.063,433,433,432
32,4.079,432,432,432
33,4.095,433,432,432
34,4.111,433,433,433
35,4.127,433,433,433
36,4.159,426,432,432
37,4.175,433,432,432
38,4.191,433,433,432
39,4.207,433,433,432
40,4.223,433,433,432
41,4.239,433,432,432
42,4.271,433,433,433
43,4.287,433,433,432
44,4.303,433,433,433
45,4.319,433,432,432
46,4.335,433,433,433
47,4.351,433,433,433
48,4.383,432,432,432
49,4.399,433,433,432
50,4.415,433,433,432
51,4.431,433,433,433
52,4.447,433,432,432
53,4.463,433,432,432
54,4.495,433,433,433
55,4.511,433,433,432
56,4.527,433,433,432
57,4.543,433,433,432
58,4.559,433,433,433
59,4.575,433,432,432
60,4.591,433,433,433
61,4.623,433,433,433
62,4.639,433,433,433
63,4.655,433,433,433
64,4.671,433,433,433
65,4.687,433,433,433
66,4.702,433,433,433
67,4.735,433,433,432
68,4.751,433,429,432
69,4.767,433,433,432
70,4.783,433,433,432
71,4.799,433,433,433
72,4.815,433,433,433
73,4.847,433,433,432
74,4.863,433,433,433
75,4.879,433,433,433
76,4.895,433,432,432
77,4.911,433,433,432
78,4.927,433,433,433
79,4.958,433,433,433
80,4.975,433,433,433
81,4.991,433,433,433
82,5.007,426,432,432
83,5.023,433,433,432
84,5.039,433,433,433
85,5.055,433,433,432
86,5.087,433,433,433
87,5.103,433,432,432
88,5.119,432,432,432
89,5.135,433,433,433
90,5.151,433,433,433
91,5.167,433,433,433
92,5.199,433,429,432
93,5.214,433,433,433
94,5.231,426,432,432
95,5.247,433,433,433
96,5.263,433,429,432
97,5.279,433,433,432
98,5.311,432,432,432
99,5.327,433,433,433
100,5.343,433,429,432
101,5.359,432,432,432
102,5.375,433,433,433
103,5.391,433,433,432
104,5.423,433,433,433
105,5.439,433,432,432
106,5.455,433,432,432
107,5.471,433,433,432
108,5.487,433,433,432
109,5.503,433,429,432
110,5.519,433,432,432
111,5.551,433,433,432
112,5.566,432,432,432
113,5.583,433,432,432
114,5.599,433,433,432
115,5.615,433,433,433
116,5.631,433,432,432
117,5.663,433,433,432
118,5.679,433,433,433
119,5.695,433,433,433
120,5.711,433,433,432
121,5.727,432,432,432
122,5.743,432,432,432
123,5.775,433,429,432
124,5.791,433,433,433
125,5.807,433,432,432
126,5.823,433,433,433
127,5.839,433,433,433
128,5.855,432,432,432
129,5.887,433,433,433
130,5.903,433,433,433
131,5.919,433,432,432
132,5.935,433,433,433
133,5.951,433,433,433
134,5.967,433,433,432
135,5.983,433,433,433
136,6.015,433,433,432
137,6.031,433,433,432
138,6.047,433,433,433
139,6.063,433,433,433
140,6.079,433,433,433
141,6.095,432,432,432
142,6.127,433,433,433
143,6.143,433,433,432
144,6.159,433,433,432
145,6.175,433,433,432
146,6.191,433,429,432
147,6.207,433,433,432
