N_event,t_trig,tP1,tP2,tP3
0,13.278,47,47,47
1,13.31,48,47,47
2,13.326,47,47,47
3,13.342,48,48,47
4,13.358,47,47,46
5,13.375,48,47,47
6,13.39,48,47,47
7,13.422,47,47,47
8,13.438,47,47,47
9,13.455,47,47,46
10,13.47,47,47,46
11,13.486,47,47,47
12,13.502,47,47,47
13,13.534,48,48,47
14,13.55,47,47,47
15,13.566,47,47,47
16,13.582,47,47,47
17,13.598,47,47,47
18,13.614,47,47,47
19,13.63,47,47,46
20,13.662,47,47,47
21,13.678,47,47,47
22,13.694,47,47,47
23,13.71,48,48,47
24,13.726,47,47,47
25,13.742,47,47,47
26,13.775,47,47,47
27,13.79,47,47,47
28,13.806,48,46,47
29,13.822,47,47,47
30,13.838,48,47,47
31,13.855,47,47,46
32,13.886,47,47,47
33,13.902,47,47,47
34,13.918,47,47,47
35,13.935,47,47,47
36,13.95,47,47,46
37,13.966,47,47,47
38,13.998,47,47,47
39,14.015,48,48,47
40,14.03,48,47,47
41,14.046,47,47,47
42,14.062,47,47,47
43,14.078,48,48,47
44,14.095,47,47,46
45,14.126,48,48,47
46,14.142,47,47,47
47,14.158,47,47,47
48,14.175,47,47,47
49,14.19,47,47,46
50,14.206,47,47,47
51,14.238,47,47,47
52,14.255,47,47,47
53,14.27,47,47,47
54,14.286,47,47,47
55,14.302,48,44,47
56,14.318,48,48,47
57,14.35,47,47,47
58,14.366,47,47,46
59,14.382,47,47,47
60,14.398,47,47,47
61,14.415,47,47,46
62,14.43,47,47,47
63,14.446,47,47,47
64,14.478,47,47,47
65,14.496,47,47,47
66,14.51,47,47,47
67,14.526,47,47,47
68,14.542,47,47,47
69,14.558,47,47,47
70,14.59,47,47,47
71,14.606,47,47,47
72,14.622,47,47,47
73,14.638,47,47,47
74,14.655,48,48,47
75,14.67,48,47,47
76,14.702,47,47,46
77,14.718,48,48,47
78,14.735,47,47,47
79,14.75,48,47,47
80,14.766,47,47,47
81,14.782,47,47,47
82,14.814,47,47,47
83,14.83,47,47,47
84,14.846,47,47,47
85,14.862,47,47,47
86,14.878,47,47,47
87,14.895,47,47,47
88,14.91,47,47,47
89,14.942,48,48,47
90,14.958,47,47,47
91,14.975,48,44,47
92,14.99,48,48,47
93,15.006,47,47,47
94,15.022,48,47,47
95,15.055,48,48,47
96,15.07,48,47,47
97,15.086,48,47,47
98,15.102,48,48,47
99,15.118,47,47,47
100,15.135,47,47,47
101,15.166,48,47,47
102,15.182,48,47,47
103,15.198,47,47,47
104,15.215,48,47,47
105,15.23,47,47,47
106,15.246,48,48,47
107,15.278,47,47,47
108,15.295,48,48,47
109,15.31,47,47,46
110,15.326,47,47,46
111,15.342,47,47,46
112,15.358,47,47,47
113,15.375,48,47,47
114,15.406,48,46,47
115,15.422,47,47,47
116,15.438,48,48,47
117,15.455,41,47,47
118,15.47,47,47,47
119,15.486,47,47,47
120,15.518,47,47,47
121,15.535,47,47,46
122,15.55,47,47,47
123,15.566,47,47,47
124,15.582,47,47,47
125,15.598,48,48,47
126,15.63,47,47,46
127,15.646,48,48,47
128,15.662,47,47,47
129,15.678,47,47,47
130,15.695,47,47,46
131,15.71,47,47,47
132,15.742,47,47,47
133,15.758,47,47,47
134,15.775,47,47,46
135,15.79,47,47,46
136,15.806,47,47,47
137,15.822,48,47,47
138,15.838,48,48,47
139,15.87,47,47,47
140,15.886,47,47,46
141,15.902,48,48,47
142,15.918,48,47,47
143,15.934,48,47,47
144,15.95,47,47,46
145,15.982,47,47,46
