N_event,t_trig,tP1,tP2,tP3
0,1.919,629,629,629
1,1.935,629,629,629
2,1.951,630,626,629
3,1.967,630,630,630
4,1.999,630,630,630
5,2.015,630,630,630
6,2.031,629,629,629
7,2.047,630,630,629
8,2.063,630,630,630
9,2.079,630,630,629
10,2.095,630,630,630
11,2.127,630,626,629
12,2.143,629,629,629
13,2.159,630,630,630
14,2.175,629,629,629
15,2.191,629,629,629
16,2.207,630,630,630
17,2.239,630,630,629
18,2.255,630,630,629
19,2.271,629,629,629
20,2.287,629,629,629
21,2.303,630,630,630
22,2.319,629,629,629
23,2.351,630,630,630
24,2.367,630,630,630
25,2.383,630,630,630
26,2.399,627,629,629
27,2.415,630,630,629
28,2.431,630,630,630
29,2.463,630,630,629
30,2.479,630,630,630
31,2.495,630,630,630
32,2.511,630,630,629
33,2.527,630,629,629
34,2.543,630,630,630
35,2.559,630,630,630
36,2.591,630,630,630
37,2.607,630,630,629
38,2.623,630,630,629
39,2.639,630,630,630
40,2.655,630,630,630
41,2.67,630,626,629
42,2.703,630,630,630
43,2.719,630,630,629
44,2.735,629,629,629
45,2.751,630,630,629
46,2.767,630,630,630
47,2.783,630,630,630
48,2.815,630,629,629
49,2.831,630,629,629
50,2.847,630,630,629
51,2.863,630,629,629
52,2.879,630,630,629
53,2.895,629,629,629
54,2.927,630,629,629
55,2.943,630,630,630
56,2.959,630,630,629
57,2.975,630,630,630
58,2.991,629,629,629
59,3.006,630,630,629
60,3.022,630,626,629
61,3.055,630,630,629
62,3.07,630,630,630
63,3.087,630,630,629
64,3.103,630,630,629
65,3.119,630,630,629
66,3.135,630,630,630
67,3.167,630,626,629
68,3.183,630,630,630
69,3.199,629,629,629
70,3.215,630,630,629
71,3.231,630,630,629
72,3.247,630,630,629
73,3.279,630,630,630
74,3.295,630,629,629
75,3.311,630,630,630
76,3.327,630,629,629
77,3.343,630,630,629
78,3.359,630,630,629
79,3.391,630,630,629
80,3.407,630,630,630
81,3.423,630,630,629
82,3.439,630,630,630
83,3.455,630,630,630
84,3.47,629,629,629
85,3.487,630,630,629
86,3.519,630,630,630
87,3.535,630,630,630
88,3.551,630,626,629
89,3.567,630,630,630
90,3.583,630,630,630
91,3.599,623,629,629
92,3.631,630,630,629
93,3.647,630,630,630
94,3.663,630,630,630
95,3.679,623,629,629
96,3.695,630,630,630
97,3.711,630,629,629
98,3.743,630,630,629
