N_event,t_trig,tP1,tP2,tP3
0,1.375,3480,3476,3479
1,1.391,3481,3481,3481
2,1.423,3482,3481,3481
3,1.439,3481,3481,3481
4,1.455,3481,3481,3481
5,1.471,3482,3482,3481
6,1.488,3481,3481,3481
7,1.503,3481,3481,3481
8,1.52,3480,3479,3479
9,1.551,3481,3481,3481
10,1.566,3481,3481,3481
11,1.582,3482,3482,3481
12,1.599,3482,3478,3481
13,1.615,3481,3481,3481
14,1.631,3481,3481,3481
15,1.663,3482,3482,3481
16,1.679,3480,3480,3480
17,1.695,3475,3481,3481
18,1.711,3481,3481,3480
19,1.728,3481,3481,3481
20,1.743,3481,3481,3481
21,1.775,3482,3482,3481
22,1.791,3481,3481,3481
23,1.807,3481,3481,3481
24,1.823,3473,3479,3479
25,1.839,3481,3481,3480
26,1.855,3481,3481,3480
27,1.887,3481,3481,3481
28,1.903,3482,3482,3481
29,1.919,3482,3482,3481
30,1.935,3481,3481,3481
31,1.951,3482,3482,3481
32,1.968,3480,3476,3479
33,1.983,3482,3478,3481
34,2.016,3482,3482,3481
35,2.032,3481,3481,3481
36,2.048,3481,3481,3481
37,2.063,3482,3482,3481
38,2.079,3482,3482,3481
39,2.095,3482,3482,3481
40,2.128,3480,3480,3479
41,2.143,3482,3478,3481
42,2.159,3482,3482,3481
43,2.175,3481,3481,3481
44,2.191,3482,3482,3481
45,2.208,3482,3482,3482
46,2.24,3482,3478,3481
47,2.256,3482,3482,3481
48,2.271,3480,3480,3479
49,2.287,3481,3481,3481
50,2.303,3481,3481,3480
51,2.319,3482,3478,3481
52,2.351,3481,3481,3481
53,2.368,3481,3481,3481
54,2.383,3482,3482,3482
55,2.4,3481,3481,3481
56,2.415,3481,3480,3480
57,2.432,3481,3481,3481
58,2.448,3481,3481,3481
59,2.479,3482,3478,3481
60,2.495,3482,3482,3482
61,2.511,3481,3481,3481
62,2.528,3482,3482,3481
63,2.543,3481,3481,3481
64,2.559,3480,3480,3480
65,2.591,3481,3481,3481
66,2.608,3482,3481,3481
67,2.623,3482,3482,3481
68,2.64,3481,3481,3481
69,2.655,3482,3478,3481
70,2.671,3482,3478,3481
71,2.704,3481,3481,3481
72,2.72,3480,3480,3479
73,2.735,3481,3481,3481
74,2.751,3482,3482,3481
75,2.767,3481,3481,3481
76,2.783,3482,3482,3482
77,2.815,3482,3482,3481
78,2.831,3482,3482,3481
79,2.848,3482,3482,3481
80,2.863,3480,3480,3480
81,2.879,3482,3481,3481
82,2.895,3481,3481,3480
83,2.911,3481,3481,3481
84,2.943,3482,3482,3481
85,2.959,3481,3481,3481
86,2.975,3482,3482,3481
87,2.991,3482,3482,3481
88,3.008,3480,3480,3480
89,3.024,3482,3482,3481
90,3.055,3481,3481,3481
91,3.071,3482,3481,3481
92,3.088,3482,3482,3481
93,3.103,3481,3481,3481
94,3.119,3482,3482,3481
95,3.135,3481,3481,3481
96,3.168,3481,3480,3480
97,3.183,3482,3478,3481
98,3.199,3481,3481,3481
99,3.215,3481,3481,3481
100,3.231,3481,3481,3481
101,3.248,3481,3481,3481
102,3.279,3482,3482,3481
103,3.295,3482,3482,3481
104,3.311,3480,3480,3479
105,3.328,3481,3481,3481
106,3.343,3481,3481,3481
107,3.359,3482,3478,3481
108,3.375,3482,3481,3481
109,3.408,3481,3481,3481
110,3.423,3481,3481,3481
111,3.44,3482,3482,3481
112,3.455,3480,3480,3480
113,3.471,3482,3478,3481
114,3.488,3481,3481,3480
115,3.519,3482,3481,3481
116,3.535,3482,3481,3481
117,3.551,3481,3481,3481
118,3.568,3482,3482,3481
119,3.583,3482,3481,3481
120,3.599,3474,3480,3480
121,3.631,3481,3481,3481
122,3.648,3482,3482,3481
123,3.663,3481,3481,3481
124,3.68,3482,3481,3481
125,3.695,3481,3481,3481
126,3.711,3482,3482,3482
127,3.743,3482,3482,3482
128,3.759,3480,3480,3480
129,3.775,3482,3482,3481
130,3.791,3482,3482,3481
131,3.808,3482,3481,3481
132,3.823,3482,3481,3481
133,3.84,3482,3482,3481
134,3.871,3482,3482,3482
135,3.888,3482,3478,3481
136,3.903,3481,3480,3480
137,3.919,3482,3482,3481
138,3.935,3481,3481,3481
139,3.951,3482,3482,3481
140,3.983,3481,3481,3481
141,3.999,3482,3482,3481
142,4.015,3482,3482,3482
143,4.031,3482,3478,3481
144,4.048,3481,3480,3480
145,4.063,3479,3481,3481
146,4.095,3481,3481,3481
147,4.111,3481,3481,3481
148,4.128,3481,3481,3481
149,4.143,3481,3481,3481
150,4.159,3481,3481,3481
151,4.175,3481,3481,3481
152,4.207,3480,3479,3479
153,4.223,3481,3481,3481
154,4.24,3481,3481,3481
155,4.255,3482,3478,3481
156,4.272,3481,3481,3481
157,4.287,3481,3481,3481
158,4.303,3482,3478,3481
159,4.335,3481,3481,3481
160,4.351,3480,3480,3480
161,4.368,3482,3481,3481
162,4.383,3482,3482,3481
163,4.399,3481,3481,3481
164,4.415,3482,3482,3481
165,4.448,3481,3481,3481
166,4.463,3481,3481,3481
167,4.479,3482,3482,3481
168,4.495,3480,3480,3480
169,4.511,3482,3481,3481
170,4.528,3482,3482,3481
171,4.559,3482,3481,3481
172,4.575,3481,3481,3481
173,4.591,3482,3481,3481
174,4.608,3482,3482,3481
175,4.624,3482,3481,3481
176,4.64,3480,3480,3480
177,4.671,3481,3481,3481
178,4.688,3475,3481,3481
179,4.703,3481,3481,3481
180,4.719,3481,3481,3481
181,4.735,3479,3481,3481
182,4.751,3481,3481,3481
183,4.768,3482,3481,3481
184,4.799,3480,3480,3480
185,4.815,3481,3481,3480
186,4.831,3481,3481,3480
187,4.848,3481,3481,3480
188,4.863,3481,3481,3481
189,4.88,3481,3481,3481
190,4.911,3482,3482,3482
191,4.928,3481,3481,3481
192,4.943,3480,3480,3480
193,4.959,3482,3481,3481
194,4.975,3482,3481,3481
195,4.991,3482,3482,3481
196,5.023,3482,3481,3481
197,5.039,3482,3482,3481
198,5.055,3481,3481,3481
199,5.071,3482,3481,3481
200,5.088,3480,3480,3479
201,5.103,3481,3481,3481
202,5.135,3481,3481,3480
203,5.151,3481,3481,3481
204,5.168,3475,3481,3481
205,5.183,3482,3481,3481
206,5.199,3481,3481,3481
207,5.215,3482,3481,3481
208,5.231,3480,3480,3480
209,5.263,3481,3481,3481
210,5.279,3481,3481,3481
211,5.295,3481,3481,3480
212,5.311,3482,3482,3481
213,5.328,3481,3481,3481
214,5.343,3482,3482,3481
215,5.375,3481,3481,3481
216,5.392,3481,3480,3480
217,5.407,3481,3481,3481
218,5.424,3482,3478,3481
219,5.44,3481,3481,3481
220,5.455,3482,3482,3481
221,5.488,3481,3481,3481
222,5.503,3482,3482,3481
223,5.519,3481,3481,3481
224,5.535,3480,3480,3479
225,5.551,3482,3482,3481
226,5.568,3481,3481,3480
227,5.599,3481,3481,3481
228,5.615,3482,3482,3482
229,5.631,3481,3481,3481
230,5.648,3475,3481,3481
231,5.663,3481,3481,3481
232,5.679,3480,3479,3479
233,5.695,3481,3481,3481
234,5.728,3481,3481,3480
235,5.743,3481,3481,3480
236,5.759,3481,3481,3481
237,5.775,3482,3481,3481
238,5.791,3482,3481,3481
239,5.808,3481,3481,3481
240,5.84,3480,3480,3480
241,5.855,3482,3482,3481
242,5.871,3481,3481,3481
243,5.887,3482,3478,3481
244,5.903,3481,3481,3481
245,5.919,3479,3481,3481
246,5.952,3481,3481,3481
247,5.967,3482,3482,3481
248,5.984,3480,3480,3480
249,6.0,3482,3478,3481
250,6.015,3481,3481,3481
251,6.031,3481,3481,3481
252,6.063,3482,3481,3481
253,6.079,3482,3482,3481
254,6.095,3481,3481,3480
255,6.111,3481,3481,3481
256,6.128,3480,3476,3479
257,6.143,3481,3481,3481
258,6.159,3481,3481,3481
259,6.191,3475,3481,3481
260,6.208,3482,3482,3481
261,6.223,3482,3482,3481
262,6.24,3482,3481,3481
263,6.255,3481,3481,3481
264,6.271,3480,3480,3480
265,6.303,3481,3481,3481
266,6.32,3482,3482,3481
267,6.335,3482,3481,3481
268,6.351,3482,3481,3481
269,6.368,3481,3481,3481
270,6.383,3482,3478,3481
271,6.415,3475,3481,3481
272,6.431,3480,3480,3479
273,6.448,3481,3481,3481
274,6.463,3481,3481,3480
275,6.48,3481,3481,3480
276,6.496,3475,3481,3481
277,6.527,3481,3481,3481
278,6.543,3481,3481,3481
279,6.559,3482,3482,3481
280,6.575,3480,3480,3480
281,6.591,3482,3481,3481
282,6.607,3481,3481,3481
283,6.623,3481,3481,3481
284,6.655,3481,3481,3481
285,6.671,3482,3482,3481
286,6.687,3481,3481,3480
287,6.703,3482,3481,3481
288,6.719,3480,3480,3479
289,6.735,3481,3481,3480
290,6.767,3482,3482,3481
291,6.783,3481,3481,3481
292,6.799,3482,3481,3481
293,6.815,3482,3481,3481
294,6.831,3481,3481,3480
295,6.847,3481,3481,3481
296,6.879,3480,3480,3480
297,6.895,3481,3481,3481
298,6.911,3482,3482,3481
299,6.927,3475,3481,3481
300,6.943,3481,3481,3481
301,6.959,3482,3482,3481
302,6.991,3481,3481,3481
303,7.007,3481,3481,3481
304,7.023,3480,3480,3480
305,7.039,3481,3481,3481
306,7.055,3481,3481,3481
307,7.072,3481,3481,3481
308,7.088,3481,3481,3480
309,7.119,3481,3481,3481
310,7.135,3482,3481,3481
311,7.152,3482,3482,3481
312,7.167,3480,3479,3479
313,7.183,3481,3481,3480
314,7.199,3481,3481,3481
315,7.231,3481,3481,3481
316,7.247,3482,3481,3481
317,7.263,3481,3481,3481
318,7.279,3482,3478,3481
319,7.295,3482,3482,3481
320,7.311,3480,3480,3480
321,7.343,3481,3481,3481
322,7.359,3481,3481,3480
323,7.375,3482,3482,3481
324,7.391,3481,3481,3481
325,7.407,3482,3482,3481
326,7.423,3482,3482,3481
327,7.455,3481,3481,3481
328,7.471,3480,3480,3479
