N_event,t_trig,tP1,tP2,tP3
0,3.887,989,988,988
1,3.903,989,989,989
2,3.919,989,989,988
3,3.935,989,989,989
4,3.951,989,988,988
5,3.983,989,989,988
6,3.999,989,989,989
7,4.015,989,989,989
8,4.031,989,989,989
9,4.046,989,989,988
10,4.063,989,985,988
11,4.095,989,989,989
12,4.111,989,989,989
13,4.127,989,989,989
14,4.143,989,989,989
15,4.159,989,989,989
16,4.175,989,988,988
17,4.206,989,989,989
18,4.223,989,989,988
19,4.239,989,988,988
20,4.255,989,989,989
21,4.271,988,988,988
22,4.287,989,988,988
23,4.303,989,989,989
24,4.334,989,989,989
25,4.35,989,989,989
26,4.367,989,988,988
27,4.382,989,989,988
28,4.399,989,989,988
29,4.414,989,989,989
30,4.447,989,989,989
31,4.462,989,989,988
32,4.479,989,989,988
33,4.495,989,989,988
34,4.511,989,989,988
35,4.527,989,989,988
36,4.559,989,985,988
37,4.575,988,988,988
38,4.591,982,988,988
39,4.606,989,989,988
40,4.622,989,989,989
41,4.639,989,989,989
42,4.67,989,989,989
43,4.686,989,989,988
44,4.702,989,987,988
45,4.719,989,989,988
46,4.734,989,988,988
47,4.75,989,989,988
48,4.766,989,988,988
49,4.799,989,989,988
50,4.814,989,989,988
51,4.83,982,988,988
52,4.846,989,989,989
53,4.863,989,989,989
54,4.879,989,989,988
55,4.91,989,985,988
56,4.926,989,985,988
57,4.942,989,989,989
58,4.959,989,989,988
59,4.974,989,989,988
60,4.99,989,989,988
61,5.022,989,989,988
62,5.039,989,989,989
63,5.054,989,989,988
64,5.07,989,989,989
65,5.086,989,989,989
66,5.102,989,989,988
67,5.134,989,985,988
68,5.151,989,989,989
69,5.167,989,989,989
70,5.182,989,989,989
71,5.198,989,988,988
72,5.215,989,989,989
73,5.23,989,989,989
74,5.263,989,989,988
75,5.279,989,989,988
76,5.294,989,989,989
77,5.31,989,989,988
78,5.326,989,989,989
79,5.342,989,989,989
80,5.374,989,989,989
81,5.39,989,989,989
82,5.406,989,989,988
83,5.422,989,989,988
84,5.438,989,989,989
85,5.455,989,989,988
86,5.486,989,989,988
87,5.502,989,989,989
88,5.519,989,989,989
89,5.534,989,988,988
90,5.55,989,989,988
91,5.566,989,989,988
92,5.598,989,989,989
93,5.614,988,988,988
94,5.63,989,989,989
95,5.646,989,989,989
96,5.663,989,989,988
97,5.679,989,989,989
98,5.694,989,985,988
99,5.726,989,989,989
100,5.742,989,989,989
101,5.759,989,988,988
102,5.774,989,989,989
103,5.79,989,989,989
104,5.807,989,989,988
105,5.839,989,989,989
106,5.854,989,989,988
107,5.871,989,989,989
108,5.887,989,989,988
109,5.903,989,989,989
110,5.919,989,989,989
111,5.95,989,988,988
112,5.966,989,989,989
113,5.982,989,989,988
114,5.999,989,989,988
115,6.015,989,988,988
116,6.031,989,989,989
117,6.062,989,989,988
118,6.079,989,989,988
119,6.094,989,989,988
120,6.11,989,989,988
121,6.127,989,989,989
122,6.142,989,989,988
123,6.159,989,989,988
124,6.19,989,989,989
125,6.206,982,988,988
126,6.222,989,988,988
127,6.239,989,989,988
128,6.254,989,989,989
129,6.27,989,989,989
130,6.302,989,989,989
131,6.319,989,989,989
132,6.334,989,989,989
133,6.35,988,988,988
134,6.366,989,989,988
135,6.382,989,989,989
136,6.415,989,989,988
137,6.43,989,989,989
138,6.446,989,985,988
139,6.463,989,989,988
140,6.479,989,989,989
141,6.494,989,989,989
142,6.51,989,989,988
143,6.542,989,985,988
144,6.559,989,988,988
145,6.575,989,985,988
146,6.591,989,989,988
147,6.607,989,989,989
148,6.623,989,989,988
149,6.654,989,989,989
150,6.67,989,989,989
151,6.686,989,989,988
152,6.702,989,989,988
153,6.719,989,989,988
154,6.735,989,989,989
155,6.766,989,989,989
156,6.782,989,989,988
157,6.799,982,988,988
158,6.815,989,989,989
159,6.83,989,989,988
160,6.846,989,989,989
161,6.879,989,989,989
162,6.894,989,989,988
163,6.91,989,989,989
