N_event,t_trig,tP2
39057,13813.457,154
39168,13852.289,1042
39451,13963.374,890
39456,13964.894,3697
39539,13994.045,397
39897,14123.818,510
39995,14159.961,827
40138,14209.319,1641
40144,14211.319,243
40364,14291.478,237
40370,14293.83,953
40426,14315.621,442
40619,14379.988,135
40770,14437.346,241
40836,14465.186,605
40858,14472.497,2908
41088,14552.704,1865
41221,14599.006,353
41421,14673.725,1713
41549,14722.043,1513
41761,14798.677,497
41764,14799.689,63
41833,14825.497,1175
41854,14833.001,15
41883,14844.648,18
42254,14970.593,63
42394,15020.26,891
42767,15148.849,484
42949,15215.872,1240
43304,15331.086,313
43451,15379.74,1898
44029,15582.583,510
44315,15684.692,92
44636,15802.945,626
44677,15820.465,1622
44885,15896.879,922
44886,15897.071,790
45075,15957.454,111
45245,16024.092,252
45311,16046.252,1509
45626,16153.081,15
45722,16185.401,1694
46390,16420.066,642
46748,16547.376,40
46927,16615.213,290
46936,16619.47,758
47058,16662.12,342
47108,16679.725,1063
47153,16692.428,143
47177,16696.924,586
47191,16700.572,1424
47276,16729.531,3653
47291,16735.323,119
47355,16753.93,31
47425,16781.066,98
47444,16791.546,33
47476,16803.994,53
47532,16825.225,348
47564,16836.089,58
47577,16839.097,266
47660,16868.376,896
47723,16891.271,896
47765,16904.743,174
47767,16905.126,492
48177,17053.812,1607
48347,17118.018,176
48487,17177.585,170
48580,17210.112,133
48683,17237.535,587
48902,17312.205,1296
49427,17504.856,534
49442,17510.793,634
49445,17512.137,612
49474,17526.056,286
49947,17698.996,1083
50082,17748.387,1219
50152,17775.09,1275
50213,17796.914,1064
50301,17829.457,39
50322,17837.984,58
50342,17842.96,97
50413,17873.552,800
50427,17880.72,233
50435,17883.216,200
50568,17929.391,36
51174,18141.658,530
51412,18226.215,89
51531,18272.183,342
51618,18304.758,330
51714,18339.029,3295
51720,18340.997,1204
51853,18393.171,54
52417,18576.319,403
52439,18584.602,26
52631,18658.493,24
52953,18772.054,33
53352,18906.023,1757
53353,18906.034,126
53596,18989.285,902
53639,19007.829,259
53677,19020.709,674
53848,19088.627,677
54052,19156.338,251
54423,19290.782,888
54617,19360.524,2205
54710,19398.187,767
55256,19611.063,67
55281,19617.686,276
55543,19712.101,91
55582,19727.236,111
55605,19735.396,1160
56020,19880.56,1079
56308,19986.718,1527
56543,20076.028,148
56556,20082.284,2282
56768,20155.386,54
57170,20295.783,29
57256,20323.366,2066
57293,20337.094,304
57721,20484.803,9
57914,20557.584,13
58014,20600.0,328
58175,20654.206,1389
58278,20691.949,873
58599,20805.477,318
58687,20848.506,1490
58814,20892.425,87
59116,21003.521,632
59531,21152.29,40
59807,21252.88,323
60042,21329.599,858
60280,21417.02,1076
60638,21543.05,582
61091,21712.214,2946
61358,21803.859,167
61411,21823.635,410
61652,21918.177,1318
61719,21940.128,66
61759,21957.92,23
61803,21973.279,222
62115,22088.924,1843
62186,22110.492,244
62283,22142.651,842
62312,22156.059,823
62320,22158.667,91
62322,22159.163,114
62326,22159.963,23
62357,22168.57,817
62446,22196.698,875
62957,22394.965,664
62971,22399.909,766
63044,22427.253,109
63082,22442.708,877
63300,22518.019,505
63550,22611.312,491
63723,22671.823,349
63749,22682.206,673
63797,22701.454,389
64181,22841.403,42
64354,22902.938,984
64387,22913.577,1278
64760,23056.709,23
64876,23096.132,319
64953,23123.937,2443
64999,23140.128,457
65573,23352.498,343
65708,23400.942,339
65790,23433.149,165
66020,23523.159,108
66065,23540.198,57
66101,23560.052,955
66312,23637.311,228
66503,23701.45,11
66630,23746.745,41
66824,23817.86,145
66855,23829.908,2615
66863,23833.298,1599
66944,23866.88,551
67327,24017.847,893
67466,24067.028,119
67571,24109.313,349
67699,24157.021,115
67814,24194.827,312
68116,24307.093,298
68123,24311.653,142
68257,24357.633,127
68433,24432.637,556
68437,24434.493,832
68805,24563.397,961
69305,24748.809,143
69325,24755.368,755
69604,24855.378,496
69764,24912.687,47
69824,24933.134,855
69969,24994.186,978
70079,25039.336,1170
70248,25095.013,812
70294,25113.092,79
70320,25122.051,119
70475,25177.968,204
70693,25254.892,150
71059,25392.323,356
71184,25438.785,44
71300,25478.382,61
71326,25487.438,212
71373,25507.949,152
71473,25541.035,282
71587,25584.536,43
71608,25593.032,302
71669,25613.831,338
72168,25803.772,294
72189,25811.227,739
72243,25830.731,3174
72319,25859.017,1463
72370,25875.592,1788
72453,25906.134,270
72975,26101.899,781
73044,26130.298,294
73393,26256.259,820
73620,26330.527,229
73850,26417.115,1335
73858,26419.195,436
73952,26450.986,50
73999,26467.977,39
74141,26514.518,790
74195,26530.389,1386
74562,26659.983,108
74839,26763.272,638
74932,26797.768,619
75019,26832.757,130
75124,26869.267,375
75355,26950.719,904
75471,26989.757,524
75623,27038.779,94
75654,27050.345,315
75760,27088.408,512
75763,27089.912,16
75794,27101.016,247
75847,27116.807,184
75931,27153.94,64
75950,27158.661,275
76032,27184.995,17
76074,27199.858,172
76280,27283.566,80
76444,27341.307,35
76451,27343.147,368
76469,27352.123,31
76565,27387.513,206
76960,27526.909,289
77293,27642.732,57
77432,27690.378,312
77449,27695.785,1268
77465,27702.938,976
77469,27704.234,325
77485,27710.808,430
77628,27758.263,249
77720,27788.949,20
77909,27861.314,596
77930,27869.633,144
77971,27881.521,819
78252,27983.692,1042
78391,28029.013,1224
78648,28120.981,225
79025,28250.431,306
79031,28252.079,67
79298,28339.259,803
79483,28403.416,677
79595,28439.734,679
79895,28553.889,3957
80092,28624.654,182
80301,28701.434,194
80307,28703.786,90
80478,28771.558,269
80497,28778.342,738
80510,28783.687,226
80592,28805.605,160
80610,28813.301,2729
80726,28857.172,461
81202,29039.755,45
81203,29040.043,449
81242,29053.226,64
81500,29153.253,1019
81618,29191.668,779
81661,29206.355,335
81773,29246.017,114
81778,29250.193,1004
82402,29456.52,76
82705,29562.607,54
82722,29569.715,47
82794,29598.754,247
82799,29600.546,245
82842,29614.594,918
83146,29727.741,325
83247,29763.019,26
83428,29826.76,383
83510,29854.007,1589
83528,29863.575,44
83782,29953.858,45
83785,29955.155,363
83888,29994.561,612
84036,30043.903,323
84061,30050.943,145
84082,30059.631,968
84182,30086.989,321
84451,30185.752,394
84659,30253.174,613
84752,30282.998,99
84759,30285.781,1739
84787,30294.325,319
84902,30335.154,731
85051,30383.313,1924
85071,30391.504,21
85541,30558.299,501
85715,30619.207,76
86003,30716.995,51
86397,30846.349,1548
86415,30850.638,42
86425,30854.365,1016
86427,30855.325,255
86438,30857.757,36
86525,30885.34,195
86636,30930.811,17
86681,30946.921,37
86911,31025.799,250
87318,31171.009,163
87351,31184.657,138
87423,31210.479,258
87557,31264.909,72
87571,31269.485,103
87924,31404.056,1081
88062,31454.997,104
88226,31516.356,140
88488,31607.419,33
88585,31644.142,484
88595,31646.478,1019
88916,31764.042,53
89136,31844.658,1172
89173,31857.174,1473
89276,31895.732,870
89398,31945.282,42
89475,31967.794,19
89841,32108.06,655
90074,32187.002,71
90100,32194.521,833
90318,32281.542,1157
90620,32394.386,342
90925,32512.125,758
