N_event,t_trig,tP3
1236347,12619.263,1386
1244236,12699.79,3507
1256113,12821.017,2550
1260682,12867.653,3817
1261261,12873.56,2468
1263694,12898.391,2296
1279427,13058.975,3262
1283306,13098.573,3121
1286253,13128.654,658
1288984,13156.539,3769
1296317,13231.401,826
1308533,13356.103,3293
1312060,13392.116,2744
1314103,13412.966,2475
1315910,13431.413,2642
1318617,13459.058,1292
1320272,13475.953,177
1322055,13494.161,3535
1322571,13499.425,1406
1331332,13588.878,3683
1331370,13589.264,1264
1340401,13681.469,332
1347048,13749.338,3756
1359355,13874.982,278
1360184,13883.432,1585
1362243,13904.456,3241
1362594,13908.039,2541
1363371,13915.974,4035
1363460,13916.885,897
1365425,13936.948,3679
1375209,14036.837,3186
1392898,14217.425,2661
1393617,14224.767,1032
1401037,14300.525,3711
1407548,14367.004,2644
1413005,14422.729,2794
1415833,14451.608,2190
1418797,14481.863,3318
1418937,14483.29,225
1429781,14594.02,3787
1430403,14600.359,2092
1444195,14741.185,260
1445673,14756.274,1071
1446327,14762.961,434
1456104,14862.782,154
1458897,14891.297,1528
1462994,14933.132,642
1463231,14935.55,291
1463317,14936.428,115
1479619,15102.872,388
1480227,15109.08,542
1488679,15195.383,2218
1489889,15207.734,2485
1489993,15208.793,4068
1498346,15294.087,1378
1508383,15396.58,3329
1509518,15408.177,2201
1511916,15432.657,111
1513365,15447.457,3843
1515875,15473.075,3901
1516080,15475.17,2000
1516973,15484.288,1508
1519485,15509.935,104
1531968,15637.404,3456
1534866,15666.99,3902
1535086,15669.244,2140
1540698,15726.539,3239
