N_event,t_trig,tP1
28,16.991,113
671,248.615,174
690,254.168,1367
814,294.262,73
1180,409.331,308
1244,429.97,809
1430,493.184,39
1977,661.707,23
2082,697.194,1778
2241,753.785,117
2424,813.479,60
2609,882.388,624
2639,896.532,17
2713,921.46,2963
2743,930.676,137
2771,938.402,356
3631,1250.794,12
3646,1257.705,19
3786,1306.504,333
3831,1325.783,2340
4250,1461.587,200
4281,1475.875,387
4305,1483.683,43
4398,1515.954,92
4442,1529.762,752
4443,1530.018,686
4475,1540.977,827
4477,1542.108,6
5094,1760.811,45
5104,1763.931,313
5168,1787.77,64
5623,1939.302,481
5702,1965.077,245
5928,2051.827,162
5992,2070.625,535
6035,2087.442,11
6046,2089.185,179
6251,2161.359,443
6315,2182.703,7
6618,2284.716,15
6685,2303.771,152
6786,2344.713,75
7186,2479.862,50
7326,2526.116,1837
7411,2560.148,152
7457,2573.844,262
7485,2583.859,61
7604,2624.818,54
7982,2756.223,1205
8023,2769.966,1261
8043,2778.383,995
8053,2780.813,333
8103,2802.541,1394
8367,2896.49,1854
8568,2962.344,14
8624,2985.319,9
8710,3010.264,68
9053,3139.971,258
9200,3188.21,27
9401,3255.376,2784
9748,3381.277,255
9939,3452.682,1675
10170,3538.297,1970
10176,3539.785,50
10273,3572.984,53
10404,3619.478,37
10538,3663.669,232
10592,3685.941,274
10635,3702.132,102
10638,3702.74,176
10770,3750.434,119
10965,3819.009,2193
11082,3860.96,462
11126,3874.416,299
11294,3933.101,1053
11351,3951.485,520
11600,4043.066,179
11872,4142.104,472
11901,4151.992,417
12102,4220.791,927
12255,4280.02,31
12295,4294.836,1025
12470,4350.594,1113
13289,4644.938,83
13394,4681.289,505
13487,4712.088,165
13573,4740.979,35
13860,4830.309,194
13875,4839.845,84
14097,4927.059,197
14451,5058.367,380
14517,5084.783,1090
14788,5180.443,7
14858,5202.267,38
15150,5302.292,2263
15585,5455.669,1724
15611,5464.452,38
15618,5468.372,51
16129,5650.96,958
16925,5925.8,957
17352,6101.358,634
17829,6272.031,100
17920,6306.959,345
18029,6349.309,7
18142,6394.716,456
18225,6421.499,143
18331,6454.714,1560
18371,6468.89,6
18470,6504.681,2188
18652,6573.639,25
18937,6671.988,1055
19215,6769.218,156
19329,6808.609,552
19470,6856.351,1874
19511,6870.175,1301
19802,6972.941,866
19911,7008.78,983
19930,7015.307,1802
20496,7248.789,898
20567,7277.125,179
20570,7278.469,1201
20873,7380.514,694
20940,7406.69,1071
20946,7408.562,1238
21062,7450.64,401
21426,7576.013,749
21674,7665.403,45
21747,7691.866,20
21871,7741.561,31
21971,7778.6,869
21977,7781.336,953
22077,7812.838,363
22176,7844.134,216
22437,7935.027,2339
22985,8121.695,1122
23165,8192.621,552
23185,8198.221,336
23361,8257.835,499
23490,8300.666,461
23781,8415.495,199
24023,8507.093,162
24035,8509.077,1405
24392,8623.522,381
24578,8689.936,366
24771,8756.958,108
24828,8779.118,452
25146,8875.467,10
25254,8909.899,160
25530,9011.592,59
25705,9069.703,88
25785,9099.078,565
25935,9157.588,2891
26119,9229.507,23
26160,9242.482,1938
26405,9331.073,1509
26481,9360.623,1875
26504,9367.52,96
26615,9402.27,26
26990,9520.683,6
27050,9543.323,33
27060,9546.875,64
27255,9611.705,35
27301,9626.713,1395
27554,9725.126,36
27644,9761.413,0
27905,9854.436,32
28042,9900.45,532
28131,9934.834,84
28224,9970.384,199
28266,9981.519,4
28515,10057.742,480
28731,10131.948,27
29306,10346.295,4064
29372,10368.037,224
29410,10383.462,320
29784,10518.419,33
30005,10596.465,722
30549,10792.108,197
30607,10812.234,1448
31480,11118.355,674
32077,11324.446,865
32358,11424.907,18
32499,11477.355,285
32533,11485.674,188
32652,11530.393,212
32719,11555.096,256
33011,11661.542,117
33169,11717.06,51
33184,11721.445,37
33614,11877.809,117
33842,11955.566,630
34134,12062.94,39
34165,12074.844,874
34441,12175.593,2525
34481,12190.521,324
34868,12326.438,361
35201,12443.698,433
35221,12453.09,72
35314,12491.809,1502
35470,12548.208,343
35473,12548.992,520
35781,12648.669,3071
36253,12811.738,2273
36633,12940.982,1523
