N_event,t_trig,tP2
1076523,10987.849,2409
1079206,11015.24,2476
1079762,11020.917,451
1090438,11129.894,210
1091561,11141.363,1130
1097908,11206.146,1974
1099270,11220.049,1789
1100869,11236.369,1816
1102142,11249.361,788
1102981,11257.922,3413
1106076,11289.52,3220
1112896,11359.134,2123
1113678,11367.118,2471
1121016,11442.014,3012
1124821,11480.859,1366
1125484,11487.627,764
1139560,11631.32,3505
1139957,11635.368,3773
1142865,11665.049,1950
1148220,11719.715,1673
1150300,11740.945,254
1152027,11758.575,1330
1152241,11760.751,1582
1168222,11923.876,3299
1171635,11958.708,916
1173473,11977.472,1461
1175194,11995.039,3764
1178365,12027.408,1960
1179655,12040.575,25
1180039,12044.495,3591
1183109,12075.834,2231
1185562,12100.874,1272
1187277,12118.376,2149
1206019,12309.693,866
1208381,12333.804,570
1214224,12393.435,3777
1215673,12408.233,3133
1218471,12436.793,681
1218898,12441.159,735
1226796,12521.779,3850
1229302,12547.348,476
1236651,12622.367,679
1239001,12646.353,2023
1243753,12694.86,3254
1244236,12699.79,3507
1244813,12705.678,1507
1257005,12830.121,1346
1260682,12867.653,3819
1269450,12957.141,2298
1270329,12966.114,1344
1272971,12993.075,773
1279102,13055.663,3524
1280511,13070.046,3790
1280750,13072.48,3401
1283294,13098.447,1460
1283306,13098.573,3116
1285499,13120.958,2055
1286088,13126.972,1256
1288317,13149.726,1015
1291321,13180.394,2267
1294523,13213.081,47
1296317,13231.401,825
1298249,13251.115,1687
1302521,13294.729,2278
1311192,13383.251,538
1312252,13394.07,320
1312667,13398.308,1669
1316694,13439.426,1190
1320775,13481.089,1824
1320835,13481.699,2129
1330359,13578.945,1420
1335092,13627.263,1459
1335665,13633.117,3314
1341382,13691.485,3586
1342595,13703.869,621
1342844,13706.413,3511
1343736,13715.516,495
1352686,13806.891,3823
1353265,13812.808,2547
1360763,13889.349,4024
1362801,13910.152,3890
1363371,13915.974,4034
1363886,13921.237,2536
1370978,13993.637,1004
1374919,14033.877,625
1376821,14053.298,3999
1377027,14055.396,1889
1377917,14064.483,4066
1391516,14203.326,1673
1396821,14257.484,1636
1398690,14276.559,744
1409782,14389.817,1283
1410002,14392.059,215
1418937,14483.29,224
1424025,14535.239,699
1426250,14557.959,4065
1430403,14600.359,2091
1435755,14655.011,3707
1440239,14700.789,3966
1442397,14722.833,74
1442916,14728.129,4059
1450994,14810.607,1560
1457612,14878.177,2306
1462172,14924.734,376
1462994,14933.132,642
1471907,15024.138,3251
1472424,15029.418,486
1474680,15052.443,3092
1480800,15114.936,2056
1482842,15135.784,3014
1486127,15169.319,942
1486144,15169.496,2951
1497300,15283.412,3815
