N_event,t_trig,tP1,tP2,tP3
13860,4830.309,194,4095,4095
13875,4839.845,84,4095,4095
13892,4844.085,4095,160,4095
13903,4849.316,4095,991,991
13931,4859.604,4095,1157,1157
13935,4861.028,4095,744,4095
13983,4880.548,4095,30,30
14097,4927.059,197,4095,4095
14108,4929.63,4095,54,55
14154,4944.178,4095,465,4095
14294,5000.512,4095,4095,11
14451,5058.367,380,4095,4095
14517,5084.783,1090,4095,4095
14556,5095.215,4095,1022,4095
14587,5104.734,4095,1791,1792
14695,5146.012,4095,604,604
14782,5178.828,4095,507,4095
14788,5180.443,7,4095,4095
14825,5192.907,4095,367,4095
14858,5202.267,38,4095,4095
14959,5234.922,4095,9,12
15012,5249.77,4095,591,592
15148,5301.785,4095,639,639
15150,5302.292,2263,4095,4095
15275,5347.511,4095,952,953
15455,5411.909,4095,284,284
15585,5455.669,1724,4095,4095
15611,5464.452,38,4095,4095
15618,5468.372,51,4095,4095
15634,5472.052,4095,1656,4095
15636,5472.692,4095,459,460
15679,5491.715,4095,4095,343
15696,5497.955,4095,737,4095
15802,5536.994,4095,1380,1379
15945,5587.585,4095,1440,1438
16094,5636.848,4095,59,4095
16104,5641.055,4095,201,202
16129,5650.96,958,4095,4095
16135,5652.879,4095,4095,1383
16149,5659.871,4095,450,451
16155,5661.103,4095,94,4095
16261,5696.126,4095,1689,1690
16387,5738.541,4095,28,29
16468,5761.932,4095,1884,1884
16689,5839.626,4095,564,564
16762,5863.066,4095,2557,2558
16807,5882.409,4095,218,217
16925,5925.8,957,4095,4095
17044,5975.99,4095,4095,755
17050,5979.719,4095,854,854
17214,6048.677,4095,38,4095
17221,6050.661,4095,672,4095
17352,6101.358,634,4095,4095
17368,6108.307,4095,1514,4095
17829,6272.031,100,4095,4095
17833,6273.135,4095,804,806
17920,6306.959,345,4095,4095
18029,6349.309,7,4095,4095
18142,6394.716,456,4095,4095
18225,6421.499,143,4095,4095
18296,6441.642,4095,1793,1793
18331,6454.714,1560,4095,4095
18333,6455.77,4095,706,706
18371,6468.89,6,4095,4095
18409,6486.297,4095,1256,4095
18470,6504.681,2188,4095,4095
18652,6573.639,25,4095,4095
18719,6594.566,4095,110,111
18901,6657.093,4095,58,58
18937,6671.988,1055,4095,4095
18962,6681.572,4095,553,555
18981,6688.548,4095,317,4095
19072,6718.995,4095,274,4095
19178,6755.538,4095,1257,1258
19215,6769.218,156,4095,4095
19248,6779.73,4095,971,970
19329,6808.609,552,4095,4095
19470,6856.351,1874,4095,4095
19511,6870.175,1301,4095,4095
19587,6897.023,4095,118,4095
19680,6932.414,4095,353,354
19802,6972.941,866,4095,4095
19911,7008.78,983,4095,4095
19930,7015.307,1802,4095,4095
20018,7049.85,4095,272,272
20047,7059.738,4095,930,934
20094,7076.65,4095,166,4095
20098,7077.146,4095,1375,4095
20149,7101.049,4095,667,4095
20312,7170.647,4095,387,387
20464,7235.397,4095,562,4095
20477,7240.677,4095,227,226
20484,7243.478,4095,413,413
20496,7248.789,898,4095,4095
20567,7277.125,179,4095,4095
20570,7278.469,1201,4095,4095
20648,7305.796,4095,2034,2036
20703,7326.147,4095,4095,276
20725,7333.907,4095,176,4095
20738,7339.155,4095,4095,1084
20745,7341.907,4095,129,130
20841,7369.746,4095,4095,67
20873,7380.514,694,4095,4095
20940,7406.69,1071,4095,4095
20946,7408.562,1238,4095,4095
21025,7435.168,4095,4095,285
21062,7450.64,401,4095,4095
21100,7463.553,4095,972,975
21114,7468.767,4095,666,4095
21134,7473.439,4095,22,25
21348,7551.901,4095,111,4095
21414,7570.83,4095,220,220
21426,7576.013,749,4095,4095
21497,7603.388,4095,184,184
21506,7606.108,4095,236,4095
21640,7654.203,4095,760,4095
21674,7665.403,45,4095,4095
21747,7691.866,20,4095,4095
21768,7702.761,4095,1459,1458
21783,7710.41,4095,99,4095
21818,7724.393,4095,227,4095
21871,7741.561,31,4095,4095
21971,7778.6,869,4095,4095
21977,7781.336,953,4095,4095
21994,7785.944,4095,22,22
22077,7812.838,363,4095,4095
22176,7844.134,216,4095,4095
22197,7851.287,4095,476,476
22206,7853.573,4095,323,323
22234,7861.83,4095,4095,313
22346,7902.068,4095,62,4095
22429,7933.332,4095,4095,3918
22437,7935.027,2339,4095,4095
22440,7936.419,4095,2501,2501
22495,7953.491,4095,63,4095
22766,8046.993,4095,257,255
22949,8109.391,4095,630,4095
22985,8121.695,1122,4095,4095
23139,8184.253,4095,2431,4095
23165,8192.621,552,4095,4095
23185,8198.221,336,4095,4095
23230,8214.205,4095,649,649
23237,8215.836,4095,1057,4095
23361,8257.835,499,4095,4095
23381,8264.651,4095,281,281
23428,8278.202,4095,96,96
23490,8300.666,461,4095,4095
23505,8304.443,4095,373,372
23752,8401.992,4095,1546,4095
23781,8415.495,199,4095,4095
24023,8507.093,162,4095,4095
24035,8509.077,1405,4095,4095
24154,8548.708,4095,4095,1542
24258,8578.579,4095,112,112
24260,8579.283,4095,314,314
24392,8623.522,381,4095,4095
24461,8648.21,4095,108,108
24495,8660.178,4095,24,23
24547,8677.376,4095,108,108
24578,8689.936,366,4095,4095
24582,8690.401,4095,627,627
24620,8707.872,4095,348,4095
24653,8716.544,4095,237,4095
24771,8756.958,108,4095,4095
24828,8779.118,452,4095,4095
24922,8806.669,4095,274,274
25002,8828.557,4095,4095,475
25083,8858.572,4095,1020,1021
25116,8867.804,4095,107,4095
25137,8872.796,4095,418,418
25146,8875.467,10,4095,4095
25237,8905.099,4095,4095,115
25254,8909.899,160,4095,4095
25530,9011.592,59,4095,4095
25623,9041.127,4095,4095,402
25688,9064.279,4095,303,304
25705,9069.703,88,4095,4095
25758,9091.318,4095,759,4095
25785,9099.078,565,4095,4095
25828,9117.654,4095,4095,776
25918,9149.861,4095,431,430
25935,9157.588,2891,4095,4095
26119,9229.507,23,4095,4095
26160,9242.482,1938,4095,4095
26405,9331.073,1509,4095,4095
26481,9360.623,1875,4095,4095
26504,9367.52,96,4095,4095
26508,9368.927,4095,3884,4095
26526,9372.975,4095,220,220
26540,9377.407,4095,107,4095
26614,9401.982,4095,211,211
26615,9402.27,26,4095,4095
26928,9495.5,4095,361,360
26990,9520.683,6,4095,4095
27050,9543.323,33,4095,4095
27060,9546.875,64,4095,4095
27241,9606.857,4095,395,394
27255,9611.705,35,4095,4095
27301,9626.713,1395,4095,4095
27382,9659.879,4095,175,176
27390,9663.96,4095,149,148
27523,9712.423,4095,29,4095
27554,9725.126,36,4095,4095
27557,9725.59,4095,4095,1878
27644,9761.413,0,4095,4095
27739,9799.028,4095,534,535
27864,9841.491,4095,1000,1001
27905,9854.436,32,4095,4095
27921,9858.083,4095,81,82
27988,9882.178,4095,271,4095
28042,9900.45,532,4095,4095
28097,9920.097,4095,2403,2403
28131,9934.834,84,4095,4095
28135,9936.177,4095,1320,4095
28192,9956.832,4095,823,4095
28208,9963.76,4095,273,273
28224,9970.384,199,4095,4095
28266,9981.519,4,4095,4095
28269,9982.256,4095,203,4095
28515,10057.742,480,4095,4095
28576,10076.381,4095,469,467
28628,10095.932,4095,600,602
28731,10131.948,27,4095,4095
28920,10197.242,4095,751,4095
29046,10245.609,4095,468,468
29106,10269.897,4095,464,4095
29306,10346.295,4064,4095,4095
29349,10360.63,4095,556,558
29372,10368.037,224,4095,4095
29410,10383.462,320,4095,4095
29742,10501.779,4095,192,192
29763,10510.578,4095,288,287
29784,10518.419,33,4095,4095
29802,10526.354,4095,313,4095
29820,10534.082,4095,1095,4095
30005,10596.465,722,4095,4095
30118,10641.391,4095,20,4095
30549,10792.108,197,4095,4095
30607,10812.234,1448,4095,4095
31029,10955.447,4095,1078,4095
31112,10984.695,4095,2806,4095
31211,11020.134,4095,261,261
31246,11032.182,4095,3659,4095
31334,11064.228,4095,1073,1074
31480,11118.355,674,4095,4095
31691,11195.585,4095,86,4095
31747,11216.081,4095,312,312
31782,11227.505,4095,121,4095
32041,11309.519,4095,259,258
32077,11324.446,865,4095,4095
32132,11341.582,4095,264,265
32153,11348.974,4095,337,337
32355,11423.964,4095,168,4095
32358,11424.907,18,4095,4095
32401,11439.227,4095,911,911
32499,11477.355,285,4095,4095
32516,11481.69,4095,638,638
32533,11485.674,188,4095,4095
32648,11528.506,4095,511,512
32652,11530.393,212,4095,4095
32666,11534.057,4095,51,4095
32719,11555.096,256,4095,4095
32872,11617.783,4095,4095,167
32911,11632.438,4095,283,4095
32980,11653.174,4095,1298,4095
33011,11661.542,117,4095,4095
33015,11662.614,4095,125,125
33108,11693.237,4095,15,4095
33169,11717.06,51,4095,4095
33184,11721.445,37,4095,4095
33261,11747.748,4095,291,292
33304,11766.227,4095,199,198
33438,11817.618,4095,182,182
33614,11877.809,117,4095,4095
33842,11955.566,630,4095,4095
33974,12001.997,4095,4095,1230
34134,12062.94,39,4095,4095
34165,12074.844,874,4095,4095
34414,12165.065,4095,575,575
34441,12175.593,2525,4095,4095
34481,12190.521,324,4095,4095
34543,12209.32,4095,168,4095
34664,12255.527,4095,3743,4095
34868,12326.438,361,4095,4095
35006,12374.213,4095,36,37
35201,12443.698,433,4095,4095
35221,12453.09,72,4095,4095
35238,12460.338,4095,275,4095
35260,12468.77,4095,4095,497
35313,12491.697,4095,4095,221
35314,12491.809,1502,4095,4095
35470,12548.208,343,4095,4095
35473,12548.992,520,4095,4095
35489,12554.848,4095,561,561
35620,12594.527,4095,1907,1908
35739,12634.638,4095,138,138
35781,12648.669,3071,4095,4095
35803,12655.71,4095,1623,1623
35862,12672.589,4095,4095,1413
35960,12710.843,4095,336,4095
36253,12811.738,2273,4095,4095
36260,12813.226,4095,300,301
36400,12858.505,4095,212,213
36479,12883.944,4095,77,77
36481,12884.888,4095,389,4095
36591,12923.239,4095,4095,2004
36599,12929.751,4095,379,379
36633,12940.982,1523,4095,4095
36759,12986.934,4095,951,951
36813,13005.125,4095,904,904
36978,13065.107,937,4095,4095
37088,13110.051,4095,34,34
37105,13115.555,4095,361,361
37136,13124.113,4095,485,486
37272,13168.753,1507,4095,4095
37478,13238.079,391,4095,4095
37521,13254.959,787,4095,4095
37593,13282.782,4095,379,379
37603,13287.694,4095,139,4095
37674,13308.622,4095,330,330
37739,13332.52,849,4095,4095
37764,13339.645,4095,4095,378
37787,13350.428,171,4095,4095
37855,13373.836,83,4095,4095
37881,13383.611,250,4095,4095
37924,13403.179,1803,4095,4095
37995,13427.611,4095,4095,108
38133,13470.633,93,4095,4095
38290,13525.352,361,4095,4095
38394,13562.296,4095,444,444
38468,13588.119,4095,283,284
38689,13670.933,198,4095,4095
38694,13673.285,289,4095,4095
38731,13690.308,4095,743,743
38953,13771.202,6,4095,4095
39013,13791.89,4095,710,4095
39057,13813.457,4095,154,154
39168,13852.289,4095,1042,4095
39370,13928.11,456,4095,4095
39438,13957.182,262,4095,4095
39451,13963.374,4095,890,890
39456,13964.894,4095,3697,3698
39516,13987.453,261,4095,4095
39539,13994.045,4095,397,399
39568,14002.652,4095,4095,1959
39622,14024.812,52,4095,4095
39788,14091.402,483,4095,4095
39897,14123.818,4095,510,4095
39995,14159.961,4095,827,4095
40138,14209.319,4095,1641,1641
40144,14211.319,4095,243,4095
40251,14253.991,1816,4095,4095
40364,14291.478,4095,237,239
40370,14293.83,4095,953,4095
40426,14315.621,4095,442,443
40619,14379.988,4095,135,4095
40733,14423.875,337,4095,4095
40770,14437.346,4095,241,241
40836,14465.186,4095,605,606
40858,14472.497,4095,2908,2910
41088,14552.704,4095,1865,1866
41221,14599.006,4095,353,4095
41385,14663.389,1992,4095,4095
41421,14673.725,4095,1713,1714
41484,14698.22,1340,4095,4095
41549,14722.043,4095,1513,1513
41704,14774.634,586,4095,4095
41720,14782.393,130,4095,4095
41761,14798.677,4095,497,498
41764,14799.689,4095,63,63
41833,14825.497,4095,1175,1177
41854,14833.001,4095,15,16
41863,14834.296,14,4095,4095
41883,14844.648,4095,18,4095
42093,14913.478,37,4095,4095
42161,14936.033,199,4095,4095
42179,14943.606,232,4095,4095
42254,14970.593,4095,63,4095
42394,15020.26,4095,891,891
42767,15148.849,4095,484,485
42865,15187.488,1227,4095,4095
42949,15215.872,4095,1240,4095
42963,15218.991,4095,4095,1162
42986,15224.575,713,4095,4095
43159,15284.781,58,4095,4095
43237,15310.509,4095,4095,765
43303,15330.973,86,4095,4095
43304,15331.086,4095,313,313
43350,15343.676,272,4095,4095
43367,15354.46,625,4095,4095
43395,15362.988,13,4095,4095
43451,15379.74,4095,1898,4095
43574,15419.691,49,4095,4095
43625,15440.618,56,4095,4095
43675,15458.283,171,4095,4095
43691,15462.511,2319,4095,4095
43794,15499.001,102,4095,4095
43951,15558.791,1213,4095,4095
43993,15572.583,112,4095,4095
44029,15582.583,4095,510,510
44192,15635.845,359,4095,4095
44315,15684.692,4095,92,96
44544,15766.818,12,4095,4095
44564,15774.418,39,4095,4095
44619,15797.058,648,4095,4095
44636,15802.945,4095,626,626
44677,15820.465,4095,1622,1621
44792,15863.728,3261,4095,4095
44885,15896.879,4095,922,923
44886,15897.071,4095,790,4095
45075,15957.454,4095,111,4095
45245,16024.092,4095,252,4095
45311,16046.252,4095,1509,4095
45391,16072.091,173,4095,4095
45525,16114.153,357,4095,4095
45626,16153.081,4095,15,4095
45722,16185.401,4095,1694,4095
45879,16238.887,445,4095,4095
45906,16246.742,155,4095,4095
45911,16248.647,1,4095,4095
46061,16299.766,368,4095,4095
46249,16367.331,1666,4095,4095
46349,16405.203,4095,4095,40
46390,16420.066,4095,642,642
46646,16512.08,1294,4095,4095
46700,16532.0,472,4095,4095
46716,16535.776,4095,4095,403
46748,16547.376,4095,40,40
46816,16571.386,169,4095,4095
46818,16571.838,4095,4095,386
46836,16579.823,737,4095,4095
46927,16615.213,4095,290,4095
46936,16619.47,4095,758,757
46995,16639.405,149,4095,4095
47058,16662.12,4095,342,343
47108,16679.725,4095,1063,4095
47153,16692.428,4095,143,146
47177,16696.924,4095,586,587
47191,16700.572,4095,1424,4095
47236,16717.164,4095,4095,3402
47276,16729.531,4095,3653,4095
47277,16729.995,549,4095,4095
47291,16735.323,4095,119,4095
47355,16753.93,4095,31,4095
47405,16775.466,1721,4095,4095
47425,16781.066,4095,98,4095
47444,16791.546,4095,33,32
47476,16803.994,4095,53,4095
47493,16811.113,4095,4095,26
47497,16813.018,1205,4095,4095
47532,16825.225,4095,348,348
47564,16836.089,4095,58,58
47577,16839.097,4095,266,4095
47660,16868.376,4095,896,895
47713,16889.543,208,4095,4095
47723,16891.271,4095,896,4095
47735,16895.591,30,4095,4095
47765,16904.743,4095,174,4095
47767,16905.126,4095,492,492
47997,16991.252,235,4095,4095
48019,16999.365,11,4095,4095
48177,17053.812,4095,1607,1607
48219,17071.842,1577,4095,4095
48275,17092.834,4095,4095,1385
48330,17113.554,4095,4095,2046
48347,17118.018,4095,176,176
48487,17177.585,4095,170,169
48555,17201.215,2282,4095,4095
48567,17204.992,904,4095,4095
48580,17210.112,4095,133,4095
48683,17237.535,4095,587,4095
48773,17268.462,396,4095,4095
48844,17289.454,62,4095,4095
48902,17312.205,4095,1296,4095
49029,17352.076,430,4095,4095
49063,17363.18,838,4095,4095
49072,17367.531,4095,4095,21
49267,17448.762,339,4095,4095
49365,17484.889,4095,4095,3964
49427,17504.856,4095,534,532
49442,17510.793,4095,634,4095
49445,17512.137,4095,612,4095
49474,17526.056,4095,286,286
49610,17572.951,85,4095,4095
49791,17643.573,411,4095,4095
49884,17679.173,470,4095,4095
49947,17698.996,4095,1083,1082
49979,17710.788,4095,4095,411
50082,17748.387,4095,1219,1220
50152,17775.09,4095,1275,1275
50213,17796.914,4095,1064,1065
50301,17829.457,4095,39,39
50322,17837.984,4095,58,4095
50342,17842.96,4095,97,94
50395,17866.88,39,4095,4095
50413,17873.552,4095,800,800
50427,17880.72,4095,233,233
50435,17883.216,4095,200,202
50568,17929.391,4095,36,4095
50768,17997.565,776,4095,4095
50795,18005.405,1099,4095,4095
50998,18078.412,286,4095,4095
51138,18129.93,1179,4095,4095
51174,18141.658,4095,530,4095
51400,18223.144,216,4095,4095
51412,18226.215,4095,89,4095
51500,18259.335,932,4095,4095
51531,18272.183,4095,342,341
51569,18286.582,272,4095,4095
51618,18304.758,4095,330,332
51714,18339.029,4095,3295,3295
51720,18340.997,4095,1204,4095
51800,18369.444,12,4095,4095
51853,18393.171,4095,54,4095
52052,18461.362,88,4095,4095
52181,18499.857,71,4095,4095
52200,18505.265,101,4095,4095
52237,18518.049,296,4095,4095
52252,18523.968,1346,4095,4095
52417,18576.319,4095,403,4095
52439,18584.602,4095,26,4095
52484,18607.406,150,4095,4095
52630,18657.645,4095,4095,14
52631,18658.493,4095,24,25
52640,18663.645,20,4095,4095
52690,18679.917,1,4095,4095
52754,18699.644,218,4095,4095
52765,18704.812,303,4095,4095
52950,18771.275,4095,4095,4035
52953,18772.054,4095,33,4095
53067,18814.233,4095,4095,545
53352,18906.023,4095,1757,4095
53353,18906.034,4095,126,4095
53576,18982.581,4095,4095,1421
53596,18989.285,4095,902,902
53639,19007.829,4095,259,4095
53677,19020.709,4095,674,4095
53848,19088.627,4095,677,4095
54052,19156.338,4095,251,251
54196,19206.256,491,4095,4095
54308,19246.047,431,4095,4095
54423,19290.782,4095,888,892
