N_event,t_trig,tP1
6154,62.845,2455
6832,69.757,741
6920,70.655,2310
10575,107.966,937
10652,108.751,1384
11737,119.835,3219
15532,158.572,1772
18384,187.69,1982
23084,235.659,1572
23142,236.251,3194
23879,243.784,969
26030,265.735,148
29075,296.823,3189
29495,301.112,1883
30561,311.99,1347
31733,323.958,2951
32332,330.071,3508
32920,336.07,3411
35616,363.592,2292
36311,370.694,3310
38840,396.504,3735
46068,470.307,2020
47287,482.755,1294
47603,485.974,1860
49723,507.621,968
51298,523.714,2583
52208,532.997,2742
53842,549.684,1422
55557,567.201,739
57942,591.553,2317
59595,608.432,2396
60563,618.32,4040
64028,653.695,3539
66027,674.11,3147
66537,679.312,3792
66613,680.094,2925
66735,681.342,2777
69129,705.776,785
70169,716.397,3252
72110,736.208,2109
72168,736.801,4016
74525,760.864,1485
76939,785.503,1542
78504,801.484,262
82722,844.539,1385
85632,874.25,3437
86643,884.556,966
88492,903.433,3922
89598,914.729,2660
90771,926.697,3276
96406,984.216,474
97500,995.383,3054
98452,1005.095,3297
100601,1027.031,1407
103085,1052.39,3252
105387,1075.88,2652
106126,1083.43,3155
106236,1084.55,2234
107507,1097.526,1996
109629,1119.175,455
110589,1128.981,1321
112296,1146.404,1248
114300,1166.854,2573
115047,1174.484,3542
116121,1185.444,430
116598,1190.31,2815
116870,1193.091,471
119039,1215.222,2802
119859,1223.602,2342
121309,1238.389,4031
121614,1241.506,3462
123891,1264.741,741
128528,1312.065,1666
131692,1344.353,915
133917,1367.058,251
138651,1415.374,916
139504,1424.078,649
142003,1449.58,176
143996,1469.916,41
146822,1498.76,2861
149755,1528.694,2946
151305,1544.516,1922
151467,1546.164,3640
155843,1590.82,1037
160038,1633.646,1476
160845,1641.871,3949
162535,1659.118,3976
166324,1697.785,12
168296,1717.912,2120
173935,1775.462,2625
175865,1795.157,3062
180070,1838.071,3988
180662,1844.115,2130
181011,1847.683,1146
182049,1858.275,1477
183344,1871.491,8
189404,1933.332,2410
191903,1958.834,2357
193669,1976.864,2297
194926,1989.695,1176
200656,2048.173,480
200798,2049.616,1334
201046,2052.144,213
202076,2062.655,1671
202918,2071.247,3623
205205,2094.59,1806
206910,2111.996,3479
214510,2189.561,3685
215097,2195.545,2209
215970,2204.456,2553
225782,2304.582,3110
226722,2314.182,2110
232302,2371.127,1665
232560,2373.764,1744
239666,2446.29,498
240901,2458.897,1747
242459,2474.801,808
243262,2482.996,3118
244047,2491.008,955
252965,2582.032,2804
259540,2649.135,1551
263076,2685.228,3068
269458,2750.362,2212
270767,2763.721,1672
274169,2798.441,3463
279070,2848.457,4044
280257,2860.57,935
281381,2872.041,2640
284531,2904.198,313
287205,2931.493,3355
287533,2934.837,2311
289233,2952.184,3732
293721,2997.991,2297
294151,3002.388,3881
295167,3012.756,750
297541,3036.982,3847
299079,3052.677,2441
299260,3054.53,218
300633,3068.546,3573
304016,3103.073,2517
307245,3136.032,769
309664,3160.72,3440
309679,3160.867,1954
311835,3182.879,1297
315317,3218.414,15
316730,3232.833,3532
318356,3249.438,1836
321070,3277.133,819
325731,3324.703,1398
325927,3326.703,1631
330293,3371.262,978
336931,3439.017,3661
340294,3473.336,186
340722,3477.704,3253
341119,3481.755,3061
343002,3500.97,1930
343367,3504.698,2523
346028,3531.861,764
346559,3537.272,2740
348191,3553.927,2490
348495,3557.03,1720
349888,3571.252,2973
350011,3572.499,4085
350987,3582.467,3123
352412,3596.997,1837
